county,week_start,kamis_price,kamis_std,agri_price,agri_std,temp_avg_c,temp_max_c,temp_min_c,rain_mm,price,kamis_smooth,agri_smooth,temp_range,rain_intensity,heavy_rain,heat_stress,strong_wind,month,price_lag_1,price_lag_2,price_lag_3,price_lag_4,price_lag_8,price_rolling_mean_4,price_rolling_std_4,price_rolling_mean_8,price_rolling_std_8,price_rolling_mean_12,price_rolling_std_12,week,year,month_sin,month_cos,week_sin,week_cos
Kiambu,2021-08-30,32.223333333333336,2.5455123911176187,46.67,0.0,17.285714285714285,25.1,11.9,8.200000000000001,46.67,32.37222222222223,46.67,13.200000000000001,0,0,0,0,8,46.67,46.67,46.67,46.67,46.67,46.67,0.0,46.67,0.0,46.67,0.0,35,2021,-0.8660254037844384,-0.5000000000000004,-0.8854560256532096,-0.4647231720437691
Kiambu,2021-09-06,30.186666666666667,1.3993689053760394,46.67,0.0,16.857142857142858,23.4,12.6,11.4,46.67,31.360000000000003,46.67,10.799999999999999,0,0,0,0,9,46.67,46.67,46.67,46.67,46.67,46.67,0.0,46.67,0.0,46.67,0.0,36,2021,-1.0,-1.8369701987210297e-16,-0.9350162426854147,-0.3546048870425359
Kiambu,2021-09-13,31.67,0.0,46.67,0.0,17.985714285714288,25.6,11.9,6.5,46.67,31.360000000000003,46.67,13.700000000000001,0,0,0,0,9,46.67,46.67,46.67,46.67,46.67,46.67,0.0,46.67,0.0,46.67,0.0,37,2021,-1.0,-1.8369701987210297e-16,-0.970941817426052,-0.23931566428755774
Kiambu,2021-09-20,48.333333333333336,30.319502524502827,46.67,0.0,17.8,24.9,11.0,7.2,46.67,36.73,46.67,13.899999999999999,0,0,0,0,9,46.67,46.67,46.67,46.67,46.67,46.67,0.0,46.67,0.0,46.67,0.0,38,2021,-1.0,-1.8369701987210297e-16,-0.992708874098054,-0.12053668025532357
Kiambu,2021-09-27,31.67,0.0,46.67,0.0,18.685714285714287,26.5,11.6,3.8000000000000003,46.67,37.22444444444445,46.67,14.9,0,0,0,0,9,46.67,46.67,46.67,46.67,46.67,46.67,0.0,46.67,0.0,46.67,0.0,39,2021,-1.0,-1.8369701987210297e-16,-1.0,-1.8369701987210297e-16
Kiambu,2021-10-04,31.67,0.0,46.67,0.0,19.02857142857143,26.7,11.2,2.4,46.67,37.22444444444445,46.67,15.5,0,0,0,0,10,46.67,46.67,46.67,46.67,46.67,46.67,0.0,46.67,0.0,46.67,0.0,40,2021,-0.8660254037844386,0.5000000000000001,-0.992708874098054,0.1205366802553232
Kiambu,2021-10-11,34.44,0.0,46.67,0.0,18.857142857142858,26.1,11.8,12.3,46.67,32.593333333333334,46.67,14.3,0,0,0,0,10,46.67,46.67,46.67,46.67,46.67,46.67,0.0,46.67,0.0,46.67,0.0,41,2021,-0.8660254037844386,0.5000000000000001,-0.9709418174260521,0.23931566428755738
Kiambu,2021-11-01,33.33,0.0,46.67,0.0,19.157142857142855,26.5,13.2,4.2,46.67,33.14666666666667,46.67,13.3,0,0,0,0,11,46.67,46.67,46.67,46.67,46.67,46.67,0.0,46.67,0.0,46.67,0.0,44,2021,-0.5000000000000004,0.8660254037844384,-0.822983865893657,0.5680647467311548
Kiambu,2022-01-10,37.22,0.0,46.67,0.0,18.47142857142857,26.7,13.1,6.4,46.67,34.99666666666666,46.67,13.6,0,0,0,0,1,46.67,46.67,46.67,46.67,46.67,46.67,0.0,46.67,0.0,46.67,0.0,2,2022,0.49999999999999994,0.8660254037844387,0.23931566428755774,0.970941817426052
Kiambu,2022-01-17,37.22,0.0,46.67,0.0,18.17142857142857,26.2,12.1,18.700000000000003,46.67,35.92333333333333,46.67,14.1,0,0,0,0,1,46.67,46.67,46.67,46.67,46.67,46.67,0.0,46.67,0.0,46.67,0.0,3,2022,0.49999999999999994,0.8660254037844387,0.3546048870425356,0.9350162426854148
Kiambu,2022-01-24,38.89,0.0,46.67,0.0,19.057142857142857,26.9,12.9,0.0,46.67,37.776666666666664,46.67,13.999999999999998,0,0,0,0,1,46.67,46.67,46.67,46.67,46.67,46.67,0.0,46.67,0.0,46.67,0.0,4,2022,0.49999999999999994,0.8660254037844387,0.4647231720437685,0.8854560256532099
Kiambu,2022-01-31,38.89,0.0,46.67,0.0,19.342857142857145,27.0,12.4,10.4,46.67,38.333333333333336,46.67,14.6,0,0,0,0,1,46.67,46.67,46.67,46.67,46.67,46.67,0.0,46.67,0.0,46.67,0.0,5,2022,0.49999999999999994,0.8660254037844387,0.5680647467311558,0.8229838658936564
Kiambu,2022-05-16,47.78,0.0,46.67,0.0,17.842857142857145,24.8,11.6,6.5,46.67,41.85333333333333,46.67,13.200000000000001,0,0,0,0,5,46.67,46.67,46.67,46.67,46.67,46.67,0.0,46.67,0.0,46.67,0.0,20,2022,0.49999999999999994,-0.8660254037844387,0.6631226582407952,-0.7485107481711012
Kiambu,2022-07-25,71.78,0.0,46.67,0.0,16.257142857142856,22.2,9.9,7.3,46.67,52.81666666666666,46.67,12.299999999999999,0,0,0,0,7,46.67,46.67,46.67,46.67,46.67,46.67,0.0,46.67,0.0,46.67,0.0,30,2022,-0.4999999999999997,-0.8660254037844388,-0.46472317204376806,-0.8854560256532101
Kiambu,2022-08-08,71.67,0.0,46.67,0.0,15.414285714285715,22.5,9.2,11.2,46.67,63.74333333333334,46.67,13.3,0,0,0,0,8,46.67,46.67,46.67,46.67,46.67,46.67,0.0,46.67,0.0,46.67,0.0,32,2022,-0.8660254037844384,-0.5000000000000004,-0.663122658240795,-0.7485107481711013
Kiambu,2022-08-15,71.67,0.0,46.67,0.0,16.742857142857144,25.8,9.4,7.8,46.67,71.70666666666666,46.67,16.4,0,0,0,0,8,46.67,46.67,46.67,46.67,46.67,46.67,0.0,46.67,0.0,46.67,0.0,33,2022,-0.8660254037844384,-0.5000000000000004,-0.7485107481711011,-0.6631226582407952
Kiambu,2022-10-03,71.11,0.0,46.67,0.0,18.17142857142857,25.3,11.6,9.2,46.67,71.48333333333333,46.67,13.700000000000001,0,0,0,0,10,46.67,46.67,46.67,46.67,46.67,46.67,0.0,46.67,0.0,46.67,0.0,40,2022,-0.8660254037844386,0.5000000000000001,-0.992708874098054,0.1205366802553232
